departamento,ambito,r2_actas_contabilizadas,r2_actas_total,r2_pct_contabilizadas,r1_actas_contabilizadas,r1_actas_total,r1_pct_contabilizadas,diferencia_pct
TUMBES,1,630,632,99.684,573,632,90.665,9.02
MOQUEGUA,1,576,578,99.654,550,578,95.156,4.5
LAMBAYEQUE,1,3575,3590,99.582,3421,3590,95.292,4.29
SAN MARTÍN,1,2519,2534,99.408,2373,2534,93.646,5.76
AREQUIPA,1,4189,4215,99.383,4125,4215,97.865,1.52
PUNO,1,3373,3397,99.293,3292,3397,96.909,2.38
CAJAMARCA,1,4210,4240,99.292,4003,4240,94.41,4.88
LA LIBERTAD,1,5264,5302,99.283,4913,5302,92.663,6.62
APURÍMAC,1,1307,1317,99.241,1270,1317,96.431,2.81
HUANCAVELICA,1,1262,1273,99.136,1210,1273,95.051,4.08
ICA,1,2421,2443,99.099,2213,2443,90.585,8.51
PIURA,1,5213,5281,98.712,4853,5281,91.895,6.82
TACNA,1,1027,1041,98.655,989,1041,95.005,3.65
ÁNCASH,1,3425,3472,98.646,3215,3472,92.598,6.05
PASCO,1,788,802,98.254,747,802,93.142,5.11
HUÁNUCO,1,2293,2341,97.95,2129,2341,90.944,7.01
CALLAO,1,2829,2898,97.619,2773,2898,95.687,1.93
JUNÍN,1,3599,3691,97.507,3520,3691,95.367,2.14
LIMA,1,28328,29247,96.858,27910,29247,95.429,1.43
AYACUCHO,1,1809,1900,95.211,1808,1900,95.158,0.05
MADRE DE DIOS,1,481,507,94.872,453,507,89.349,5.52
CUSCO,1,3652,3983,91.69,3833,3983,96.234,-4.54
AMAZONAS,1,1164,1278,91.08,1197,1278,93.662,-2.58
UCAYALI,1,1417,1564,90.601,1376,1564,87.98,2.62
LORETO,1,2125,2697,78.791,2281,2697,84.575,-5.78
AMÉRICA,2,56,1570,3.567,1088,1570,69.299,-65.73
ÁFRICA,2,0,6,0.0,6,6,100.0,-100.0
ASIA,2,0,107,0.0,85,107,79.439,-79.44
EUROPA,2,0,839,0.0,605,839,72.11,-72.11
OCEANÍA,2,0,21,0.0,15,21,71.429,-71.43
