,Castillo,Keiko
AL - KUWAIT,0.0%,0.0%
ALBERTA,22.5%,77.5%
ALMERIA,35.0%,65.0%
AMBERES,44.2%,55.8%
AMMAN,61.5%,38.5%
AMSTERDAM,32.1%,67.9%
ANDORRA LA VELLA,41.5%,58.5%
ANKARA,16.7%,83.3%
ANTOFAGASTA,51.0%,49.0%
ARAGUA,12.9%,87.1%
ARGEL,33.3%,66.7%
ARICA,65.4%,34.6%
ARUBA,18.9%,81.1%
ASUNCION,25.5%,74.5%
ATENAS,38.5%,61.5%
ATLANTA,19.6%,80.4%
AUCKLAND,23.6%,76.4%
AZUAY (CUENCA),52.4%,47.6%
BANGKOK,20.0%,80.0%
BARCELONA,36.9%,63.1%
BARRANQUILLA,24.3%,75.7%
BEIJING (PEKIN),40.0%,60.0%
BEIRUT,0.0%,0.0%
BELO HORIZONTE,36.1%,63.9%
BERLIN,47.4%,52.6%
BERNA,33.9%,66.1%
BILBAO,43.4%,56.6%
BOGOTA,27.7%,72.3%
BOLONIA,44.9%,55.1%
BOSTON,25.9%,74.1%
BRASILIA,39.0%,61.0%
BREMEN,27.5%,72.5%
BRISBANE,22.7%,77.3%
BRUSELAS,48.8%,51.2%
BUCAREST,25.0%,75.0%
BUDAPEST,39.7%,60.3%
BUENOS AIRES,41.4%,58.6%
BURDEOS,56.5%,43.5%
CALI,32.8%,67.2%
CAMBERRA,32.8%,67.2%
CARACAS,17.0%,83.0%
CAROLINA DEL NORTE (CHARLOTTE),16.0%,84.0%
CARTAGENA,16.0%,84.0%
CAYENA,39.2%,60.8%
CHICAGO,20.5%,79.5%
CIUDAD DE MEXICO,26.7%,73.3%
COCHABAMBA,33.3%,66.7%
COLON,53.8%,46.2%
COLONIA,40.0%,60.0%
CONCEPCION,32.5%,67.5%
COPENHAGUE,45.1%,54.9%
COPIAPO,48.0%,52.0%
CORDOBA,46.9%,53.1%
CORRIENTES,34.7%,65.3%
CURITIBA,28.4%,71.6%
DALLAS,15.1%,84.9%
DAVID,21.4%,78.6%
DENVER,27.4%,72.6%
DOHA,5.3%,94.7%
DUBAI,9.1%,90.9%
DUBLIN,38.5%,61.5%
EL ALTO,66.5%,33.5%
EL CAIRO,66.7%,33.3%
ESTAMBUL,23.5%,76.5%
ESTOCOLMO,52.8%,47.2%
ESTRASBURGO,60.7%,39.3%
FLORENCIA,55.3%,44.7%
